timestamp, focused_object
0,none
3.933333,Projector Screen,Screen
3.944445,Projector Screen,Screen
3.955556,Projector Screen,Screen
3.966667,Projector Screen,Screen
3.977778,Projector Screen,Screen
3.988889,Projector Screen,Screen
4,Projector Screen,Screen
4.011111,Projector Screen,Screen
4.022223,Projector Screen,Screen
4.033333,Projector Screen,Screen
4.044445,Projector Screen,Screen
4.055556,Projector Screen,Screen
4.066667,Projector Screen,Screen
4.077778,Projector Screen,Screen
4.088889,Female Classmate 10,Classmate
4.1,Female Classmate 10,Classmate
4.111111,Female Classmate 10,Classmate
4.122222,Female Classmate 10,Classmate
4.133333,Female Classmate 10,Classmate
4.144444,Projector Screen,Screen
4.155556,Projector Screen,Screen
4.166667,Projector Screen,Screen
4.177778,Projector Screen,Screen
4.188889,Projector Screen,Screen
4.2,Projector Screen,Screen
4.211111,Projector Screen,Screen
4.222222,Projector Screen,Screen
4.233334,Projector Screen,Screen
4.244444,Projector Screen,Screen
4.255556,Projector Screen,Screen
4.266667,Projector Screen,Screen
4.277778,Projector Screen,Screen
4.288889,Projector Screen,Screen
4.3,Projector Screen,Screen
4.311111,Projector Screen,Screen
4.322222,Projector Screen,Screen
4.333333,Projector Screen,Screen
4.344445,Projector Screen,Screen
4.355556,Projector Screen,Screen
4.366667,Projector Screen,Screen
4.377778,Projector Screen,Screen
4.388889,Projector Screen,Screen
4.4,Projector Screen,Screen
4.411111,Projector Screen,Screen
4.422222,Projector Screen,Screen
4.433333,Projector Screen,Screen
4.444445,Projector Screen,Screen
4.455555,Projector Screen,Screen
4.466667,Projector Screen,Screen
4.477778,Projector Screen,Screen
4.488889,Projector Screen,Screen
4.5,Projector Screen,Screen
4.511111,Projector Screen,Screen
4.522223,Projector Screen,Screen
4.533333,Projector Screen,Screen
4.544445,Projector Screen,Screen
4.555556,Projector Screen,Screen
4.566667,Projector Screen,Screen
4.577778,Projector Screen,Screen
4.588889,Projector Screen,Screen
4.6,Projector Screen,Screen
4.611111,Projector Screen,Screen
4.622222,Projector Screen,Screen
4.633334,Projector Screen,Screen
4.644444,Projector Screen,Screen
4.655556,Projector Screen,Screen
4.666667,Projector Screen,Screen
4.677778,Projector Screen,Screen
4.688889,Projector Screen,Screen
4.7,Projector Screen,Screen
4.711111,Projector Screen,Screen
4.722222,Projector Screen,Screen
4.733334,Projector Screen,Screen
4.744444,Projector Screen,Screen
4.755556,Projector Screen,Screen
4.766667,Projector Screen,Screen
4.777778,Projector Screen,Screen
4.788889,Projector Screen,Screen
4.8,Projector Screen,Screen
4.811111,Projector Screen,Screen
4.822222,Projector Screen,Screen
4.833333,Projector Screen,Screen
4.844445,Projector Screen,Screen
4.855556,Projector Screen,Screen
4.866667,Projector Screen,Screen
4.877778,Projector Screen,Screen
4.888889,Projector Screen,Screen
4.9,Projector Screen,Screen
4.911111,Projector Screen,Screen
4.922222,Projector Screen,Screen
4.933333,Projector Screen,Screen
4.944445,Female Classmate 10,Classmate
4.955555,Female Classmate 10,Classmate
4.966667,Female Classmate 10,Classmate
4.977778,Female Classmate 10,Classmate
4.988889,Female Classmate 10,Classmate
5,Female Classmate 10,Classmate
5.011111,Female Classmate 10,Classmate
5.022223,Female Classmate 10,Classmate
5.033333,Female Classmate 10,Classmate
5.044445,Female Classmate 10,Classmate
5.055556,Female Classmate 10,Classmate
5.066667,Female Classmate 10,Classmate
5.077778,Female Classmate 10,Classmate
5.088889,Female Classmate 10,Classmate
5.1,none
5.111111,none
5.122222,none
5.133334,none
5.144444,none
5.155556,none
5.166667,none
5.177778,Female Classmate 10,Classmate
5.188889,Female Classmate 10,Classmate
5.2,Female Classmate 10,Classmate
5.211111,Female Classmate 10,Classmate
5.222222,Female Classmate 10,Classmate
5.233334,Female Classmate 10,Classmate
5.244444,Female Classmate 10,Classmate
5.255556,Female Classmate 10,Classmate
5.266667,Female Classmate 10,Classmate
5.277778,Female Classmate 10,Classmate
5.288889,Female Classmate 10,Classmate
5.3,Female Classmate 10,Classmate
5.311111,Female Classmate 10,Classmate
5.322222,Female Classmate 10,Classmate
5.333333,Female Classmate 10,Classmate
5.344445,Female Classmate 10,Classmate
5.355556,none
5.366667,none
5.377778,none
5.388889,none
5.4,none
5.411111,none
5.422222,none
5.433333,none
5.444445,none
5.455556,none
5.466667,none
5.477778,none
5.488889,none
5.5,none
5.511111,none
5.522223,Female Classmate 2,Classmate
5.533333,Female Classmate 2,Classmate
5.544445,Female Classmate 2,Classmate
5.555556,Female Classmate 2,Classmate
5.566667,Female Classmate 2,Classmate
5.577778,Female Classmate 2,Classmate
5.588889,Female Classmate 2,Classmate
5.6,Female Classmate 2,Classmate
5.611111,Female Classmate 2,Classmate
5.622222,Female Classmate 2,Classmate
5.633334,Female Classmate 2,Classmate
5.644444,Female Classmate 2,Classmate
5.655556,Female Classmate 2,Classmate
5.666667,Female Classmate 2,Classmate
5.677778,Female Classmate 2,Classmate
5.688889,Female Classmate 2,Classmate
5.7,Female Classmate 2,Classmate
5.711111,Female Classmate 2,Classmate
5.722222,Female Classmate 2,Classmate
5.733334,Female Classmate 2,Classmate
5.744444,Female Classmate 2,Classmate
5.755556,Female Classmate 2,Classmate
5.766667,Female Classmate 2,Classmate
5.777778,Female Classmate 2,Classmate
5.788889,Female Classmate 2,Classmate
5.8,Female Classmate 2,Classmate
5.811111,Female Classmate 2,Classmate
5.822222,Female Classmate 2,Classmate
5.833333,Female Classmate 2,Classmate
5.844445,Female Classmate 2,Classmate
5.855556,Female Classmate 2,Classmate
5.866667,Female Classmate 2,Classmate
5.877778,Female Classmate 2,Classmate
5.888889,Female Classmate 2,Classmate
5.9,Female Classmate 2,Classmate
5.911111,Female Classmate 2,Classmate
5.922222,Female Classmate 2,Classmate
5.933333,Female Classmate 2,Classmate
5.944445,Female Classmate 2,Classmate
5.955556,Female Classmate 2,Classmate
5.966667,Female Classmate 2,Classmate
5.977778,Female Classmate 2,Classmate
5.988889,Female Classmate 2,Classmate
6,Female Classmate 2,Classmate
6.011111,Female Classmate 2,Classmate
6.022223,Female Classmate 2,Classmate
6.033333,Female Classmate 2,Classmate
6.044445,Female Classmate 2,Classmate
6.055556,Female Classmate 2,Classmate
6.066667,Female Classmate 2,Classmate
6.077778,Female Classmate 2,Classmate
6.088889,Female Classmate 2,Classmate
6.1,Female Classmate 2,Classmate
6.111111,Female Classmate 2,Classmate
6.122222,Female Classmate 2,Classmate
6.133334,Female Classmate 2,Classmate
6.144444,Female Classmate 2,Classmate
6.155556,Female Classmate 2,Classmate
6.166667,Female Classmate 2,Classmate
6.177778,Female Classmate 2,Classmate
6.188889,Female Classmate 2,Classmate
6.2,Female Classmate 2,Classmate
6.211111,Female Classmate 2,Classmate
6.222222,Female Classmate 2,Classmate
6.233334,Female Classmate 2,Classmate
6.244444,Female Classmate 2,Classmate
6.255556,Female Classmate 2,Classmate
6.266667,Female Classmate 2,Classmate
6.277778,Female Classmate 2,Classmate
6.288889,Female Classmate 2,Classmate
6.3,Female Classmate 2,Classmate
6.311111,Female Classmate 2,Classmate
6.322222,Female Classmate 2,Classmate
6.333333,Female Classmate 2,Classmate
6.344445,Female Classmate 2,Classmate
6.355556,Female Classmate 2,Classmate
6.366667,Female Classmate 2,Classmate
6.377778,Female Classmate 2,Classmate
6.388889,Female Classmate 2,Classmate
6.4,Female Classmate 2,Classmate
6.411111,Female Classmate 2,Classmate
6.422223,Female Classmate 2,Classmate
6.433333,Female Classmate 2,Classmate
6.444445,Female Classmate 2,Classmate
6.455556,Female Classmate 2,Classmate
6.466667,Female Classmate 2,Classmate
6.477778,Female Classmate 2,Classmate
6.488889,Female Classmate 2,Classmate
6.5,Female Classmate 2,Classmate
6.511111,Female Classmate 2,Classmate
6.522223,Female Classmate 2,Classmate
6.533333,Female Classmate 2,Classmate
6.544445,Female Classmate 2,Classmate
6.555556,Female Classmate 2,Classmate
6.566667,Female Classmate 2,Classmate
6.577778,Female Classmate 2,Classmate
6.588889,Female Classmate 2,Classmate
6.6,Female Classmate 2,Classmate
6.611111,Female Classmate 2,Classmate
6.622222,Female Classmate 2,Classmate
6.633334,Female Classmate 2,Classmate
6.644444,Female Classmate 2,Classmate
6.655556,Female Classmate 2,Classmate
6.666667,Female Classmate 2,Classmate
6.677778,Female Classmate 2,Classmate
6.688889,Female Classmate 2,Classmate
6.7,Female Classmate 2,Classmate
6.711111,Female Classmate 2,Classmate
6.722222,Female Classmate 2,Classmate
6.733334,Female Classmate 2,Classmate
6.744444,Female Classmate 2,Classmate
6.755556,Female Classmate 2,Classmate
6.766667,Female Classmate 2,Classmate
6.777778,Female Classmate 2,Classmate
6.788889,Female Classmate 2,Classmate
6.8,Female Classmate 2,Classmate
6.811111,Female Classmate 2,Classmate
6.822222,Female Classmate 2,Classmate
6.833333,Female Classmate 2,Classmate
6.844445,Female Classmate 2,Classmate
6.855556,Projector Screen,Screen
6.866667,Projector Screen,Screen
6.877778,Projector Screen,Screen
6.888889,Projector Screen,Screen
6.9,Projector Screen,Screen
6.911111,Projector Screen,Screen
6.922223,Projector Screen,Screen
6.933333,Projector Screen,Screen
6.944445,Projector Screen,Screen
6.955556,Projector Screen,Screen
6.966667,Projector Screen,Screen
6.977778,Projector Screen,Screen
6.988889,Projector Screen,Screen
7,Projector Screen,Screen
7.011111,Projector Screen,Screen
7.022223,Projector Screen,Screen
7.033333,Projector Screen,Screen
7.044445,Projector Screen,Screen
7.055556,Projector Screen,Screen
7.066667,Projector Screen,Screen
7.077778,Projector Screen,Screen
7.088889,Projector Screen,Screen
7.1,Projector Screen,Screen
7.111111,Projector Screen,Screen
7.122222,Projector Screen,Screen
7.133334,Projector Screen,Screen
7.144444,Projector Screen,Screen
7.155556,Projector Screen,Screen
7.166667,Projector Screen,Screen
7.177778,Projector Screen,Screen
7.188889,Projector Screen,Screen
7.2,Projector Screen,Screen
7.211111,Projector Screen,Screen
7.222222,Projector Screen,Screen
7.233334,Projector Screen,Screen
7.244445,Projector Screen,Screen
7.255556,Projector Screen,Screen
7.266667,Projector Screen,Screen
7.277778,Projector Screen,Screen
7.288889,Projector Screen,Screen
7.3,Projector Screen,Screen
7.311111,Projector Screen,Screen
7.322222,Projector Screen,Screen
7.333333,Projector Screen,Screen
7.344445,Projector Screen,Screen
7.355556,Projector Screen,Screen
7.366667,Projector Screen,Screen
7.377778,Projector Screen,Screen
7.388889,Projector Screen,Screen
7.4,Projector Screen,Screen
7.411111,Projector Screen,Screen
7.422223,Projector Screen,Screen
7.433333,Projector Screen,Screen
7.444445,Projector Screen,Screen
7.455556,Projector Screen,Screen
7.466667,Projector Screen,Screen
7.477778,Projector Screen,Screen
7.488889,Projector Screen,Screen
7.5,Projector Screen,Screen
7.511111,Projector Screen,Screen
7.522223,Projector Screen,Screen
7.533333,Projector Screen,Screen
7.544445,Projector Screen,Screen
7.555556,Projector Screen,Screen
7.566667,Projector Screen,Screen
7.577778,Projector Screen,Screen
7.588889,Projector Screen,Screen
7.6,Projector Screen,Screen
7.611111,Projector Screen,Screen
7.622222,Projector Screen,Screen
7.633334,Projector Screen,Screen
7.644444,Projector Screen,Screen
7.655556,Projector Screen,Screen
7.666667,Projector Screen,Screen
7.677778,Projector Screen,Screen
7.688889,Projector Screen,Screen
7.7,Projector Screen,Screen
7.711111,Projector Screen,Screen
7.722222,Projector Screen,Screen
7.733334,Projector Screen,Screen
7.744445,Projector Screen,Screen
